level,cluster_id,cluster_name,post_count,meta_posts,proper_posts,avg_base_score,stddev_base_score,avg_score,stddev_score
5,0,EA Career & Strategy,1559,1157,402,48.67350865939705,58.215078707332516,0.08850254031131044,0.2445956633253163
5,1,EA Community & Culture,1488,196,1292,27.866263440860216,36.944808674277525,0.06573641421134872,0.23046162604921608
5,2,Animal Welfare & EA,1426,631,795,30.663394109396915,43.658968887636206,0.06180954298581197,0.16626685031235083
5,3,AI Alignment & Risk,606,72,534,50.26567656765677,49.45558531782105,0.09912550673125044,0.253716509169834
5,4,EA Governance & Criticism,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
12,11,Technical AI Safety & Forecasting,704,81,623,26.257102272727273,32.97540927155862,0.0698989163606298,0.24802126243055403
12,9,EA Community & Meta-Discourse,679,641,38,49.95581737849779,60.25157037233455,0.10353059523902829,0.31602266003743973
12,4,Effective Giving & Global Health,590,289,301,58.41864406779661,66.01594182777295,0.09123857594805501,0.19057871711302704
12,10,Miscellaneous & Niche Topics,579,248,331,25.015544041450777,43.02278426110065,0.055264604956093394,0.1536794389530241
12,1,EA Philosophy & Critique,487,370,117,31.609856262833677,41.583271424035125,0.06091374829562105,0.12776815006496592
12,3,AI Safety Ecosystem & Funding,413,99,314,30.309927360774818,35.73963049076011,0.06960905856578599,0.2660136581646175
12,0,AI Governance & Policy,404,40,364,30.52227722772277,44.40069074600036,0.05094762119155672,0.12267905490861171
12,8,EA Careers & Professional Development,366,211,155,31.3551912568306,34.17288138703097,0.06288604077035714,0.16835912829182587
12,7,Animal Advocacy & Fundraising,325,47,278,45.252307692307696,47.13001817828294,0.09508981763582247,0.30873607431109623
12,5,Animal Welfare & Suffering,273,23,250,57.67399267399267,50.05107631460033,0.1175739910204523,0.2342505283886598
12,2,Non-AI Catastrophic Risks,259,7,252,30.915057915057915,39.200742126049946,0.052710717889609744,0.12651247793147144
12,6,EA Community & Personal Impact,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
30,24,FTX Aftermath and Criticism,279,229,50,42.87096774193548,64.67270545102525,0.09577907255757266,0.2637446058877084
30,9,AI Safety & Alignment,250,33,217,23.06,26.852572364119627,0.0563652776684612,0.12513124205337472
30,18,Animal Welfare Advocacy,239,42,197,38.55230125523013,41.548346660585565,0.08280606636953848,0.2778544701327897
30,21,Community News and Updates,219,102,117,14.799086757990867,29.304879499238954,0.043411725244833554,0.0877971940148344
30,20,AI Risk and Strategy,217,87,130,37.963133640552996,48.19000324089071,0.0907846382483282,0.3618947232559591
30,8,Farmed Animal Advocacy,215,12,203,66.90232558139535,53.97268904539311,0.12589099123413394,0.28364520568194074
30,1,EA Community & Identity,213,210,3,55.23004694835681,65.70085607622421,0.13123088724421503,0.4276243061402245
30,23,EA Funding and Grantmaking,204,147,57,75.5,67.80975270251584,0.10074432341464083,0.19004198868984473
30,3,Global Health & Development,203,12,191,48.669950738916256,66.14957872760148,0.07097788723736194,0.11222408668929587
30,13,AI Development & Timelines,202,15,187,40.76237623762376,52.63677251875417,0.08636394647148318,0.3135564753563671
30,10,Politics & Social Science,199,42,157,23.311557788944725,34.523062370534646,0.05039500707646963,0.17758130660664032
